00:50:C2:21:D0:00/36	ESGElekt	ESG Elektroniksystem u. Logistik GmbH
00:50:C2:21:E0:00/36	AppliedT	Applied Technologies Associates
00:50:C2:21:F0:00/36	MonitorB	Monitor Business Machines Ltd
00:50:C2:22:00:00/36	Serveron	Serveron Corporation
00:50:C2:22:10:00/36	GetingeI	Getinge IT Solutions ApS
00:50:C2:22:20:00/36	imo-elek	imo-elektronik GmbH
00:50:C2:22:30:00/36	visicont	visicontrol GmbH
00:50:C2:22:40:00/36	PANNOCOM	PANNOCOM Ltd.
00:50:C2:22:50:00/36	nVentSch	nVent, Schroff GmbH
00:50:C2:22:60:00/36	RossVide	Ross Video Limited
00:50:C2:22:70:00/36	Intellig	Intelligent Photonics Control
00:50:C2:22:80:00/36	Intellig	Intelligent Media Technologies, Inc.
00:50:C2:22:90:00/36	eko	eko systems inc.
00:50:C2:22:A0:00/36	Crescend	Crescendo Networks
00:50:C2:22:B0:00/36	RieglLas	Riegl Laser Measurement Systems GmbH
00:50:C2:22:C0:00/36	Intrinsi	Intrinsity
00:50:C2:22:D0:00/36	asetek	asetek Inc.
00:50:C2:22:E0:00/36	LordInge	Lord Ingenierie
00:50:C2:22:F0:00/36	HTEC	HTEC Limited
00:50:C2:23:00:00/36	AutoTOOL	AutoTOOLS group Co. Ltd.
00:50:C2:23:10:00/36	Legra	Legra Systems, Inc.
00:50:C2:23:20:00/36	Simet
00:50:C2:23:30:00/36	EdenTree	EdenTree Technologies, Inc.
00:50:C2:23:40:00/36	Silverba	Silverback Systems
00:50:C2:23:50:00/36	PolimarE	Polimar Elektronik Ltd.
00:50:C2:23:60:00/36	JLCooper	JLCooper Electronics
00:50:C2:23:70:00/36	Tandata	Tandata Systems Ltd
00:50:C2:23:80:00/36	Schwer+K	Schwer+Kopka GmbH
00:50:C2:23:90:00/36	StinsCom	Stins Coman
00:50:C2:23:A0:00/36	ChantryN	Chantry Networks
00:50:C2:23:B0:00/36	Envara
00:50:C2:23:C0:00/36	Wheatsto	Wheatstone Corporation
00:50:C2:23:D0:00/36	Gauging	Gauging Systems Inc
00:50:C2:23:E0:00/36	Kallastr	Kallastra Inc.
00:50:C2:23:F0:00/36	Hallibur	Halliburton - NUMAR
00:50:C2:24:00:00/36	Geoquip	Geoquip Ltd
00:50:C2:24:10:00/36	Controni	Contronics Automacao Ltda
00:50:C2:24:20:00/36	MdsSciex	Mds Sciex
00:50:C2:24:30:00/36	RGBSpect	RGB Spectrum
00:50:C2:24:40:00/36	intec	intec GmbH
00:50:C2:24:50:00/36	Hauppaug	Hauppauge Computer Works, Inc.
00:50:C2:24:60:00/36	Hardmeie	Hardmeier
00:50:C2:24:70:00/36	GradualT	Gradual Tecnologia Ltda.
00:50:C2:24:80:00/36	DixtalBi	Dixtal Biomedica Ind. Com. Ltda.
00:50:C2:24:90:00/36	Bender	Bender GmbH & Co. KG
00:50:C2:24:A0:00/36	CDSRail	CDS Rail
00:50:C2:24:B0:00/36	Azimuth	Azimuth Systems, Inc.
00:50:C2:24:C0:00/36	Supertel
00:50:C2:24:D0:00/36	MettlerT	Mettler Toledo
00:50:C2:24:E0:00/36	ScharffW	Scharff Weisberg Systems Integration Inc
00:50:C2:24:F0:00/36	Macronet	Macronet s.r.l.
00:50:C2:25:00:00/36	ACDElekt	ACD Elektronik GmbH
00:50:C2:25:10:00/36	DGTSp	DGT Sp. z o.o.
00:50:C2:25:20:00/36	ads-tec	ads-tec GmbH
00:50:C2:25:30:00/36	DSM-Mess	DSM-Messtechnik GmbH
00:50:C2:25:40:00/36	ThalesCo	Thales Communications Ltd
00:50:C2:25:50:00/36	STMicroe	STMicroelectronics SRL
00:50:C2:25:60:00/36	Informat	Information Technology Corp.
00:50:C2:25:70:00/36	Digicast	Digicast Networks
00:50:C2:25:80:00/36	Spacesav	Spacesaver Corporation
00:50:C2:25:90:00/36	OmicronC	Omicron Ceti AB
00:50:C2:25:A0:00/36	Zendex	Zendex Corporation
00:50:C2:25:B0:00/36	WinfordE	Winford Engineering
00:50:C2:25:C0:00/36	Softhill	Softhill Technologies Ltd.
00:50:C2:25:D0:00/36	Rdtech
00:50:C2:25:E0:00/36	MITEHrad	MITE Hradec Kralove, s.r.o.
00:50:C2:25:F0:00/36	AlbertHa	Albert Handtmann Maschinenfabrik GmbH&Co.KG
00:50:C2:26:00:00/36	Biotage
00:50:C2:26:10:00/36	Tattile	Tattile Srl
00:50:C2:26:20:00/36	Shanghai	Shanghai Gaozhi Science&Technology Development Ltd.
00:50:C2:26:30:00/36	VanscoEl	Vansco Electronics Oy
00:50:C2:26:40:00/36	Confiden	Confidence Direct Ltd
00:50:C2:26:50:00/36	BelikSPR	Belik S.P.R.L.
00:50:C2:26:60:00/36	ATOMGIKE	ATOM GIKEN Co.,Ltd.
00:50:C2:26:70:00/36	AllenMar	Allen Martin Conservation Ltd
00:50:C2:26:80:00/36	Parabit	Parabit Systems
00:50:C2:26:90:00/36	Technisy	Technisyst Pty Ltd
00:50:C2:26:A0:00/36	FgSynery	Fg Synerys
00:50:C2:26:B0:00/36	Continen	Continental Gateway Limited
00:50:C2:26:C0:00/36	CrystalV	Crystal Vision Ltd
00:50:C2:26:D0:00/36	DspDesig	Dsp Design
00:50:C2:26:E0:00/36	ZPEngine	ZP Engineering SEL
00:50:C2:26:F0:00/36	DigitalR	Digital Recorders Inc
00:50:C2:27:00:00/36	S4Techno	S4 Technology Pty Ltd
00:50:C2:27:10:00/36	VlsipTec	Vlsip Technologies Inc.
